Model,Labels,lr,dense_weight_alpha,snippet_duration_s,batch size,data_augmentation,ME,MAE,MSE,RMSE,loss_function,oversampling,oversampling_tolerance,oversampling_ratio,oversampling_method
allconv_01,['Sadness'],0.01,1.5,29.98575963718821,50,[],6.549839496612549,7.093243598937988,60.63893127441406,7.787100315093994,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Sadness'],0.01,2.0,29.98575963718821,50,[],5.333032131195068,5.982253551483154,47.62874984741211,6.901358604431152,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Wonder'],0.01,3.0,29.98575963718821,50,[],-7.559743404388428,9.023673057556152,113.26093292236328,10.642412185668944,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Transcendence'],0.01,3.0,29.98575963718821,50,[],-3.346545457839966,4.416896343231201,30.00961875915528,5.4781036376953125,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Nostalgia'],0.01,3.0,29.98575963718821,50,[],-6.486440658569336,9.756817817687988,151.85426330566406,12.322916030883787,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Tenderness'],0.01,3.0,29.98575963718821,50,[],1.0608054399490356,5.260894775390625,42.30622863769531,6.504323959350586,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Peacfulness'],0.01,3.0,29.98575963718821,50,[],-11.20577621459961,11.613726615905762,188.2251892089844,13.719518661499023,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Joy'],0.01,3.0,29.98575963718821,50,[],-14.377721786499023,14.48269271850586,302.7221984863281,17.398914337158203,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Power'],0.01,3.0,29.98575963718821,50,[],-7.437599658966064,8.652891159057617,125.8623046875,11.218836784362791,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Tension'],0.01,3.0,29.98575963718821,50,[],-0.3177486360073089,5.116100311279297,48.74778366088867,6.981961250305176,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Sadness'],0.01,3.0,29.98575963718821,50,[],7.892033100128174,8.41348934173584,83.44979095458984,9.135086059570312,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Wonder'],0.01,4.0,29.98575963718821,50,[],-6.933096408843994,8.211952209472656,109.11022186279295,10.445584297180176,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Transcendence'],0.01,4.0,29.98575963718821,50,[],-2.846128463745117,5.474837303161621,42.689674377441406,6.533733367919922,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Nostalgia'],0.01,4.0,29.98575963718821,50,[],-8.04758071899414,9.292377471923828,140.14845275878906,11.838431358337402,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Tenderness'],0.01,4.0,29.98575963718821,50,[],-1.1639357805252075,4.865184307098389,38.03889465332031,6.167568206787109,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Peacfulness'],0.01,4.0,29.98575963718821,50,[],1.6623718738555908,9.78353786468506,147.33990478515625,12.138364791870115,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Joy'],0.01,4.0,29.98575963718821,50,[],-15.99467945098877,16.112892150878906,373.0818176269531,19.315326690673828,dense_weight,True,0.5,1.0,denstiy_oversampling
allconv_01,['Power'],0.01,4.0,29.98575963718821,50,[],-7.973577499389648,8.537361145019531,129.48760986328125,11.37926197052002,dense_weight,True,0.5,1.0,denstiy_oversampling
